name,host_id,host_name,alcaldia,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,Homicidio doloso,Lesiones dolosas por disparo de arma de fuego,Robo a bordo de Metrobús,Robo a casa habitación con violencia,Robo a casa habitación sin violencia,Robo a conductor/pasajero de vehículo,Robo a cuentahabiente,Robo a negocio con violencia,Robo a pasajero a bordo de microbús,Robo a pasajero a bordo de taxi,Robo a pasajero a bordo del Metro,Robo a repartidor,Robo a transeúnte en vía pública,Robo a transportista,Robo de vehículo con violencia,Robo de vehículo sin violencia,Total delitos alto impacto,Total delitos bajo impacto
CONDESA HAUS  B&B,196253,Condesa Haus Bed & Breakfast  CDMX,Cuauhtémoc,19.41006,-99.17645,Entire home/apt,8429,1,48,2020-10-13,0.44,10,359,81.0,45.0,140.0,24.0,275.0,148.0,23.0,101.0,6.0,32.0,165.0,90.0,881.0,2.0,66.0,284.0,1932.0,563.0
Spacious Clean Quiet room (own bath) in la Condesa,299558,Roberto,Cuauhtémoc,19.41259,-99.17959,Private room,1253,2,52,2019-11-03,1.43,2,180,81.0,45.0,140.0,24.0,275.0,148.0,23.0,101.0,6.0,32.0,165.0,90.0,881.0,2.0,66.0,284.0,1932.0,563.0
"2 bedroom apt. deco bldg, Condesa",334451,Nicholas,Cuauhtémoc,19.41375,-99.17028,Entire home/apt,1983,4,39,2019-02-24,0.36,2,365,81.0,45.0,140.0,24.0,275.0,148.0,23.0,101.0,6.0,32.0,165.0,90.0,881.0,2.0,66.0,284.0,1932.0,563.0
"Huge Luxurious Suite 70's style, perfectly located",36836,Roberto,Cuauhtémoc,19.4239,-99.1689,Entire home/apt,1584,3,35,2019-11-18,0.34,1,365,81.0,45.0,140.0,24.0,275.0,148.0,23.0,101.0,6.0,32.0,165.0,90.0,881.0,2.0,66.0,284.0,1932.0,563.0
Colorful and spacious Apt. Family favorite,899360,Julian,Cuauhtémoc,19.41057,-99.1773,Entire home/apt,1159,3,97,2019-09-29,0.89,3,113,81.0,45.0,140.0,24.0,275.0,148.0,23.0,101.0,6.0,32.0,165.0,90.0,881.0,2.0,66.0,284.0,1932.0,563.0
Smack in the Middle of La Condesa,970609,Morgana & Omar,Cuauhtémoc,19.41395,-99.17948,Entire home/apt,838,2,169,2020-03-16,1.52,3,356,81.0,45.0,140.0,24.0,275.0,148.0,23.0,101.0,6.0,32.0,165.0,90.0,881.0,2.0,66.0,284.0,1932.0,563.0
"Condesa, one of the best zones.",184410,Veronica,Cuauhtémoc,19.40454,-99.1715,Entire home/apt,626,7,8,2020-08-04,0.12,1,148,81.0,45.0,140.0,24.0,275.0,148.0,23.0,101.0,6.0,32.0,165.0,90.0,881.0,2.0,66.0,284.0,1932.0,563.0
"Independent studio, top location",1297488,Petra,Cuauhtémoc,19.43516,-99.13806,Private room,626,3,80,2020-02-24,0.74,3,298,81.0,45.0,140.0,24.0,275.0,148.0,23.0,101.0,6.0,32.0,165.0,90.0,881.0,2.0,66.0,284.0,1932.0,563.0
"""Chavela"" Private & Furnished Room",1326107,Jacqueline,Cuauhtémoc,19.41328,-99.15513,Private room,298,5,16,2017-09-30,0.15,4,0,81.0,45.0,140.0,24.0,275.0,148.0,23.0,101.0,6.0,32.0,165.0,90.0,881.0,2.0,66.0,284.0,1932.0,563.0
Charming 1BR flat in Roma/Condesa,1373924,Eric,Cuauhtémoc,19.41835,-99.17363,Entire home/apt,814,3,352,2020-03-14,3.28,1,47,81.0,45.0,140.0,24.0,275.0,148.0,23.0,101.0,6.0,32.0,165.0,90.0,881.0,2.0,66.0,284.0,1932.0,563.0
COOL PENT HOUSE APARTMENT @CONDESA,196253,Condesa Haus Bed & Breakfast  CDMX,Cuauhtémoc,19.41125,-99.17634,Hotel room,1725,1,7,2019-10-05,0.1,10,357,81.0,45.0,140.0,24.0,275.0,148.0,23.0,101.0,6.0,32.0,165.0,90.0,881.0,2.0,66.0,284.0,1932.0,563.0
Furnished lovely cozy studio,1497087,Penelope,Cuauhtémoc,19.412470000000006,-99.17485,Entire home/apt,552,1,293,2020-06-28,3.34,10,353,81.0,45.0,140.0,24.0,275.0,148.0,23.0,101.0,6.0,32.0,165.0,90.0,881.0,2.0,66.0,284.0,1932.0,563.0
"The ""home"" feeling in Mexico City!",1539548,Paulina,Cuauhtémoc,19.43327,-99.14527,Entire home/apt,1566,3,120,2019-11-03,1.16,1,298,81.0,45.0,140.0,24.0,275.0,148.0,23.0,101.0,6.0,32.0,165.0,90.0,881.0,2.0,66.0,284.0,1932.0,563.0
Comfy in the Middle of La Condesa,970609,Morgana & Omar,Cuauhtémoc,19.4157,-99.17747,Entire home/apt,835,2,176,2019-07-20,1.69,3,365,81.0,45.0,140.0,24.0,275.0,148.0,23.0,101.0,6.0,32.0,165.0,90.0,881.0,2.0,66.0,284.0,1932.0,563.0
"Confortable private room, downtown Mexico City.",1666388,Angeles (Anjali),Cuauhtémoc,19.43453,-99.14675,Private room,605,3,107,2020-09-19,1.31,1,365,81.0,45.0,140.0,24.0,275.0,148.0,23.0,101.0,6.0,32.0,165.0,90.0,881.0,2.0,66.0,284.0,1932.0,563.0
Contemporary chic apartment- Top location,1670032,Isabel,Cuauhtémoc,19.41297,-99.15735,Entire home/apt,900,7,94,2020-03-13,1.4,1,24,81.0,45.0,140.0,24.0,275.0,148.0,23.0,101.0,6.0,32.0,165.0,90.0,881.0,2.0,66.0,284.0,1932.0,563.0
"CONDESA COZY, COMFORTABLE APARTMENT",1691633,Sandro & Ines,Cuauhtémoc,19.41942,-99.17373,Entire home/apt,1607,3,337,2020-03-07,3.21,1,55,81.0,45.0,140.0,24.0,275.0,148.0,23.0,101.0,6.0,32.0,165.0,90.0,881.0,2.0,66.0,284.0,1932.0,563.0
Modern 2 Bedroom Apt. Near Reforma,1832239,Maria  & Jennifer,Cuauhtémoc,19.42947,-99.17083,Entire home/apt,1989,2,18,2020-01-03,0.19,1,0,81.0,45.0,140.0,24.0,275.0,148.0,23.0,101.0,6.0,32.0,165.0,90.0,881.0,2.0,66.0,284.0,1932.0,563.0
"Great Accommodation in Condesa , modern , secure",1821523,Jorge,Cuauhtémoc,19.41182,-99.17399,Private room,939,2,11,2017-12-04,0.11,1,364,81.0,45.0,140.0,24.0,275.0,148.0,23.0,101.0,6.0,32.0,165.0,90.0,881.0,2.0,66.0,284.0,1932.0,563.0
DISTRITO CONDESA B&B  relax enjoy,1886913,Distrito Condesa,Cuauhtémoc,19.40746,-99.17482,Private room,1350,1,45,2020-01-30,0.44,10,365,81.0,45.0,140.0,24.0,275.0,148.0,23.0,101.0,6.0,32.0,165.0,90.0,881.0,2.0,66.0,284.0,1932.0,563.0
Colorfull  Mid-Century inspired apartment.,899360,Julian,Cuauhtémoc,19.41068,-99.17732,Entire home/apt,2150,3,12,2016-10-20,0.12,3,240,81.0,45.0,140.0,24.0,275.0,148.0,23.0,101.0,6.0,32.0,165.0,90.0,881.0,2.0,66.0,284.0,1932.0,563.0
Explore the City's Historic Center,2256144,Fernanda,Cuauhtémoc,19.42577,-99.13721,Private room,524,1,2,2017-09-16,0.03,1,365,81.0,45.0,140.0,24.0,275.0,148.0,23.0,101.0,6.0,32.0,165.0,90.0,881.0,2.0,66.0,284.0,1932.0,563.0
"Condesa, ideal location apartment",1601561,Sylvia Eugenia,Cuauhtémoc,19.40618,-99.17342,Entire home/apt,1342,1,221,2020-05-01,2.19,1,250,81.0,45.0,140.0,24.0,275.0,148.0,23.0,101.0,6.0,32.0,165.0,90.0,881.0,2.0,66.0,284.0,1932.0,563.0
Departamento  Roma/Norte sanitizado,2281290,Suites,Cuauhtémoc,19.42675,-99.1613,Entire home/apt,647,1,11,2020-08-07,0.18,44,351,81.0,45.0,140.0,24.0,275.0,148.0,23.0,101.0,6.0,32.0,165.0,90.0,881.0,2.0,66.0,284.0,1932.0,563.0
Loft very located in San Rafael near Reforma,2409917,Darío,Cuauhtémoc,19.43898,-99.16142,Entire home/apt,600,2,22,2020-03-02,0.22,3,360,81.0,45.0,140.0,24.0,275.0,148.0,23.0,101.0,6.0,32.0,165.0,90.0,881.0,2.0,66.0,284.0,1932.0,563.0
"Deluxe 4-BR penthouse, views, historic center",1297488,Petra,Cuauhtémoc,19.4345,-99.13877,Entire home/apt,3904,3,23,2019-12-08,0.23,3,298,81.0,45.0,140.0,24.0,275.0,148.0,23.0,101.0,6.0,32.0,165.0,90.0,881.0,2.0,66.0,284.0,1932.0,563.0
Roma Condesa Espectacular Home,158585,Fernando,Cuauhtémoc,19.41848,-99.17195,Entire home/apt,2024,2,170,2020-10-08,2.23,1,1,81.0,45.0,140.0,24.0,275.0,148.0,23.0,101.0,6.0,32.0,165.0,90.0,881.0,2.0,66.0,284.0,1932.0,563.0
Great Apartment w/Balcony & Excellent Location!,2732644,Paola,Cuauhtémoc,19.42924,-99.15699,Entire home/apt,1065,2,28,2020-10-21,0.43,1,364,81.0,45.0,140.0,24.0,275.0,148.0,23.0,101.0,6.0,32.0,165.0,90.0,881.0,2.0,66.0,284.0,1932.0,563.0
Un descanso en CDMX,2336127,Ana Karen,Cuauhtémoc,19.45553,-99.15988,Private room,210,7,24,2020-01-18,0.38,1,363,81.0,45.0,140.0,24.0,275.0,148.0,23.0,101.0,6.0,32.0,165.0,90.0,881.0,2.0,66.0,284.0,1932.0,563.0
MODERN/HIP FURNISHED APARTMENT ( S1 Condesa Haus),196253,Condesa Haus Bed & Breakfast  CDMX,Cuauhtémoc,19.41131,-99.1769,Hotel room,1570,1,1,2019-02-08,0.05,10,348,81.0,45.0,140.0,24.0,275.0,148.0,23.0,101.0,6.0,32.0,165.0,90.0,881.0,2.0,66.0,284.0,1932.0,563.0
"""Frida"" beautiful Private Room",1326107,Jacqueline,Cuauhtémoc,19.41484,-99.15613,Private room,385,5,8,2017-03-02,0.09,4,362,81.0,45.0,140.0,24.0,275.0,148.0,23.0,101.0,6.0,32.0,165.0,90.0,881.0,2.0,66.0,284.0,1932.0,563.0
Centro Histórico Balcón Vista a la ciudad 12D,2872228,Bruce,Cuauhtémoc,19.43374,-99.14616,Entire home/apt,1402,2,49,2020-09-29,0.51,8,257,81.0,45.0,140.0,24.0,275.0,148.0,23.0,101.0,6.0,32.0,165.0,90.0,881.0,2.0,66.0,284.0,1932.0,563.0
Trendy Condesa nice room for rent..,1969996,Gloria,Cuauhtémoc,19.40716,-99.17694,Private room,856,2,28,2018-06-22,0.3,5,364,81.0,45.0,140.0,24.0,275.0,148.0,23.0,101.0,6.0,32.0,165.0,90.0,881.0,2.0,66.0,284.0,1932.0,563.0
Beautiful appartement on Reforma,2944126,Dacio,Cuauhtémoc,19.43294,-99.15559,Entire home/apt,1566,4,24,2020-03-30,0.24,1,365,81.0,45.0,140.0,24.0,275.0,148.0,23.0,101.0,6.0,32.0,165.0,90.0,881.0,2.0,66.0,284.0,1932.0,563.0
90m2 / Mexico City's Hist. downtown,3040937,Jano,Cuauhtémoc,19.43826,-99.1366,Entire home/apt,1362,3,170,2020-03-11,1.79,1,1,81.0,45.0,140.0,24.0,275.0,148.0,23.0,101.0,6.0,32.0,165.0,90.0,881.0,2.0,66.0,284.0,1932.0,563.0
Modern Complex in Historic District⭐️,3531879,Gonzalo & Sandra,Cuauhtémoc,19.43048,-99.14461,Entire home/apt,1258,2,247,2020-09-19,2.51,3,348,81.0,45.0,140.0,24.0,275.0,148.0,23.0,101.0,6.0,32.0,165.0,90.0,881.0,2.0,66.0,284.0,1932.0,563.0
New Home sweet Home Roma/Condesa,3648353,Eduardo,Cuauhtémoc,19.41031,-99.16434,Entire home/apt,939,3,169,2020-05-06,1.78,1,87,81.0,45.0,140.0,24.0,275.0,148.0,23.0,101.0,6.0,32.0,165.0,90.0,881.0,2.0,66.0,284.0,1932.0,563.0
Casa Indigo in the Center DF groups until 29 Pers,3777702,Abraham,Cuauhtémoc,19.44371,-99.14442,Entire home/apt,2481,1,99,2019-01-16,1.02,6,362,81.0,45.0,140.0,24.0,275.0,148.0,23.0,101.0,6.0,32.0,165.0,90.0,881.0,2.0,66.0,284.0,1932.0,563.0
Best Location at La Roma-Condesa,3800330,Yas,Cuauhtémoc,19.42397,-99.15571,Entire home/apt,1211,3,253,2019-09-11,3.07,1,241,81.0,45.0,140.0,24.0,275.0,148.0,23.0,101.0,6.0,32.0,165.0,90.0,881.0,2.0,66.0,284.0,1932.0,563.0
Business Suite BEIGE near Reforma,3850198,Hermann,Cuauhtémoc,19.43059,-99.17073,Hotel room,689,2,20,2020-04-15,0.21,10,329,81.0,45.0,140.0,24.0,275.0,148.0,23.0,101.0,6.0,32.0,165.0,90.0,881.0,2.0,66.0,284.0,1932.0,563.0
Business Suite ORANGE near Reforma,3850198,Hermann,Cuauhtémoc,19.43059,-99.17073,Entire home/apt,1148,5,6,2017-12-21,0.06,10,289,81.0,45.0,140.0,24.0,275.0,148.0,23.0,101.0,6.0,32.0,165.0,90.0,881.0,2.0,66.0,284.0,1932.0,563.0
A great place to be. ONE,3881522,Misantla,Cuauhtémoc,19.40574,-99.15776,Private room,350,4,82,2018-03-18,0.87,3,178,81.0,45.0,140.0,24.0,275.0,148.0,23.0,101.0,6.0,32.0,165.0,90.0,881.0,2.0,66.0,284.0,1932.0,563.0
"Stylish bachelor pad in La Roma, DF",3817743,Max,Cuauhtémoc,19.40975,-99.1621,Private room,835,1,5,2016-01-30,0.05,1,363,81.0,45.0,140.0,24.0,275.0,148.0,23.0,101.0,6.0,32.0,165.0,90.0,881.0,2.0,66.0,284.0,1932.0,563.0
Apartment 3 blocks from Bellas Arte,151158403,Tadeo,Cuauhtémoc,19.43345,-99.13883,Entire home/apt,1232,3,77,2020-08-17,2.15,1,147,81.0,45.0,140.0,24.0,275.0,148.0,23.0,101.0,6.0,32.0,165.0,90.0,881.0,2.0,66.0,284.0,1932.0,563.0
Lovely  bedroom in Roma-Condesa,3126571,Andrea,Cuauhtémoc,19.41678,-99.17071,Private room,619,2,58,2020-02-12,0.66,2,89,81.0,45.0,140.0,24.0,275.0,148.0,23.0,101.0,6.0,32.0,165.0,90.0,881.0,2.0,66.0,284.0,1932.0,563.0
Classic but Modern Apartment in Condesa,4195771,Jair,Cuauhtémoc,19.41633,-99.17505,Private room,525,2,139,2020-09-24,1.95,1,357,81.0,45.0,140.0,24.0,275.0,148.0,23.0,101.0,6.0,32.0,165.0,90.0,881.0,2.0,66.0,284.0,1932.0,563.0
Suite 5 - Suites Condesa Mexico,4326326,Rodrigo,Cuauhtémoc,19.40915,-99.17321,Entire home/apt,900,4,46,2019-11-07,0.52,5,267,81.0,45.0,140.0,24.0,275.0,148.0,23.0,101.0,6.0,32.0,165.0,90.0,881.0,2.0,66.0,284.0,1932.0,563.0
Suite 7 - Suites Condesa Mexico,4326326,Rodrigo,Cuauhtémoc,19.40915,-99.17321,Entire home/apt,856,3,18,2019-05-11,0.21,5,329,81.0,45.0,140.0,24.0,275.0,148.0,23.0,101.0,6.0,32.0,165.0,90.0,881.0,2.0,66.0,284.0,1932.0,563.0
ROOMS CASA INDIGO WITH TERRACE AT CITY CENTER,3777702,Abraham,Cuauhtémoc,19.44346,-99.14766,Private room,376,1,123,2020-04-07,1.29,6,323,81.0,45.0,140.0,24.0,275.0,148.0,23.0,101.0,6.0,32.0,165.0,90.0,881.0,2.0,66.0,284.0,1932.0,563.0
"Beautiful, Big apartment, Condesa,",3200155,Paulina,Cuauhtémoc,19.41496,-99.17367,Entire home/apt,1983,2,136,2020-03-03,1.43,2,58,81.0,45.0,140.0,24.0,275.0,148.0,23.0,101.0,6.0,32.0,165.0,90.0,881.0,2.0,66.0,284.0,1932.0,563.0
Business Suite RED near Reforma Av.,3850198,Hermann,Cuauhtémoc,19.43078,-99.17011,Hotel room,689,2,30,2020-04-23,0.32,10,347,81.0,45.0,140.0,24.0,275.0,148.0,23.0,101.0,6.0,32.0,165.0,90.0,881.0,2.0,66.0,284.0,1932.0,563.0
Business Suite PURPLE near Reforma,3850198,Hermann,Cuauhtémoc,19.43068,-99.17007,Hotel room,647,2,34,2020-10-14,0.45,10,362,81.0,45.0,140.0,24.0,275.0,148.0,23.0,101.0,6.0,32.0,165.0,90.0,881.0,2.0,66.0,284.0,1932.0,563.0
Business Suite BLUE near Reforma Av,3850198,Hermann,Cuauhtémoc,19.4306,-99.17074,Entire home/apt,647,2,16,2020-10-11,0.17,10,335,81.0,45.0,140.0,24.0,275.0,148.0,23.0,101.0,6.0,32.0,165.0,90.0,881.0,2.0,66.0,284.0,1932.0,563.0
Business Suite BLACK near Reforma,3850198,Hermann,Cuauhtémoc,19.43052,-99.17003,Hotel room,731,2,18,2020-09-20,0.31,10,359,81.0,45.0,140.0,24.0,275.0,148.0,23.0,101.0,6.0,32.0,165.0,90.0,881.0,2.0,66.0,284.0,1932.0,563.0
The Best and most Beautiful  :),2039132,Justino,Cuauhtémoc,19.41802,-99.16141,Entire home/apt,1779,2,40,2020-02-28,1.6,1,1,81.0,45.0,140.0,24.0,275.0,148.0,23.0,101.0,6.0,32.0,165.0,90.0,881.0,2.0,66.0,284.0,1932.0,563.0
Cozy House with Roofterrace group 29 pax Center DF,3777702,Abraham,Cuauhtémoc,19.44199,-99.14654,Entire home/apt,2714,1,171,2020-09-13,1.81,6,354,81.0,45.0,140.0,24.0,275.0,148.0,23.0,101.0,6.0,32.0,165.0,90.0,881.0,2.0,66.0,284.0,1932.0,563.0
"1 bedroom apt BEST location, BALCONY, ROOFTOP 50Mb",4796027,Marco,Cuauhtémoc,19.42063,-99.16586,Entire home/apt,1503,2,48,2020-09-30,0.52,3,344,81.0,45.0,140.0,24.0,275.0,148.0,23.0,101.0,6.0,32.0,165.0,90.0,881.0,2.0,66.0,284.0,1932.0,563.0
