acumulado,acumulado_anterior,acumulado_2018,acumulado_2019,acumulado_2020,color_cambio_acumulado_2019_2020,cambio_acumulado_2019_2020,cambio_acumulado_vs_acumulado_anterior,cambio_mes_tot_vs_diciembre_tot,cambio_mes_tot_vs_mes_year_anterior_tot,cambio_mes_vs_mes_anterior,cambio_prom_cambio_anual,cambio_promedio_year_actual,cambio_promedio_year_anterior,color_cambio_acumulado_vs_acumulado_anterior,color_cambio_mes_tot_vs_diciembre_tot,color_cambio_mes_tot_vs_mes_year_anterior_tot,color_cambio_mes_vs_mes_ant,color_cambio_prom_cambio_anual,color_cambio_promedio_year_actual,color_cambio_promedio_year_anterior,diciembre_tot,id_delito_general,cve_delito,mes,mes_anterior_tot,mes_tot,mes_year_anterior_tot,year,geo_alcaldia,nomgeo
11.0,14.0,41.0,24.0,38.0,5.0,58.333333333333336,-21.428571428571427,20.0,-33.33333333333333,20.0,-43.401105760656314,0.228968253968254,0.40454545454545454,2.0,6.0,2.0,6.0,2.0,6.0,6.0,5.0,1,Homicidio doloso,1,5.0,6.0,9.0,2019,09006,Iztacalco
54.0,,41.0,24.0,38.0,5.0,58.333333333333336,,20.0,0.0,-25.0,-43.401105760656314,0.228968253968254,0.40454545454545454,0.0,6.0,0.0,2.0,2.0,6.0,6.0,5.0,1,Homicidio doloso,1,8.0,6.0,6.0,2020,09006,Iztacalco
19.0,7.0,37.0,38.0,30.0,3.0,-21.052631578947366,171.42857142857142,11.11111111111111,233.33333333333334,11.11111111111111,-281.9369202226345,-0.23163265306122446,0.1273148148148148,6.0,4.0,6.0,4.0,1.0,2.0,6.0,9.0,10,Lesiones dolosas por disparo de arma de fuego,1,9.0,10.0,3.0,2019,09006,Iztacalco
68.0,,37.0,38.0,30.0,3.0,-21.052631578947366,,-44.44444444444444,-50.0,0.0,-281.9369202226345,-0.23163265306122446,0.1273148148148148,0.0,2.0,1.0,0.0,1.0,2.0,6.0,9.0,10,Lesiones dolosas por disparo de arma de fuego,1,5.0,5.0,10.0,2020,09006,Iztacalco
194.0,133.0,906.0,677.0,316.0,1.0,-53.32348596750369,45.86466165413533,-16.9811320754717,-12.871287128712872,-16.9811320754717,-561.9217894916238,0.022644199310153504,-0.0049021717150591615,4.0,2.0,3.0,3.0,1.0,4.0,2.0,106.0,11,Robo a transeúnte en vía pública,1,106.0,88.0,101.0,2019,09006,Iztacalco
1137.0,,906.0,677.0,316.0,1.0,-53.32348596750369,,-49.056603773584904,-38.63636363636363,-22.857142857142858,-561.9217894916238,0.022644199310153504,-0.0049021717150591615,0.0,1.0,2.0,2.0,1.0,4.0,2.0,106.0,11,Robo a transeúnte en vía pública,1,70.0,54.0,88.0,2020,09006,Iztacalco
29.0,8.0,45.0,129.0,81.0,2.0,-37.2093023255814,262.5,214.28571428571428,1000.0,214.28571428571428,-55.329603207313184,0.09949874686716792,0.2227397874456698,5.0,6.0,5.0,5.0,2.0,4.0,6.0,7.0,12,Robo a repartidor,1,7.0,22.0,2.0,2019,09006,Iztacalco
210.0,,45.0,129.0,81.0,2.0,-37.2093023255814,,114.28571428571428,-31.818181818181817,25.0,-55.329603207313184,0.09949874686716792,0.2227397874456698,0.0,6.0,2.0,6.0,2.0,4.0,6.0,7.0,12,Robo a repartidor,1,12.0,15.0,22.0,2020,09006,Iztacalco
85.0,28.0,103.0,316.0,55.0,1.0,-82.59493670886076,203.57142857142856,126.92307692307692,268.75,126.92307692307692,-244.7270956341405,-0.06761128364389232,0.04671639636492719,6.0,6.0,5.0,6.0,2.0,2.0,4.0,26.0,13,Robo a negocio con violencia,1,26.0,59.0,16.0,2019,09006,Iztacalco
453.0,,103.0,316.0,55.0,1.0,-82.59493670886076,,-11.538461538461538,-61.016949152542374,53.333333333333336,-244.7270956341405,-0.06761128364389232,0.04671639636492719,0.0,3.0,1.0,6.0,2.0,2.0,4.0,26.0,13,Robo a negocio con violencia,1,15.0,23.0,59.0,2020,09006,Iztacalco
2.0,1.0,10.0,24.0,11.0,1.0,-54.166666666666664,100.0,200.0,200.0,200.0,1220.0000000000005,-0.36666666666666664,-0.027777777777777766,6.0,6.0,6.0,6.0,5.0,1.0,1.0,0.0,15,Robo a cuentahabiente,1,0.0,2.0,0.0,2019,09006,Iztacalco
